site_name,api_number,operator,county,state,latitude,longitude,job_codes,well_type,status,source
TXL South Unit #5210H,42135407020000,Apache Corporation,Ector,Texas,31.80197,-102.70534,,,,FracFocus
Txl North Unit 1017,42135402600000,Apache Corporation,Ector,Texas,31.87181,-102.71749,,,,FracFocus
Holley 1208 1,42383369750000,Apache Corporation,Reagan,Texas,31.32203,-101.63464,,,,FracFocus
Txl North Unit 801,42135373850000,Apache Corporation,Ector,Texas,31.86768,-102.71381,,,,FracFocus
Srh `16` 1614,42383368440000,Apache Corporation,Reagan,Texas,31.44571,-101.47995,,,,FracFocus
Kloh 44,42227364530000,Apache Corporation,Howard,Texas,32.09025,-101.43213,,,,FracFocus
Glass 15 1,42173335370000,Apache Corporation,Glasscock,Texas,31.84235,-101.50591,,,,FracFocus
Bartz 19 16-19H,42483330160000,Apache Corporation,Wheeler,Texas,35.459747,-100.031525,,,,FracFocus
Bell 22 2,42173336860000,Apache Corporation,Glasscock,Texas,31.82149,-101.50355,,,,FracFocus
Txl South Unit 5115H,42135405890000,Apache Corporation,Ector,Texas,31.81688,-102.71644,,,,FracFocus
Srh 13 1316,42383368720000,Apache Corporation,Reagan,Texas,31.46989,-101.44432,,,,FracFocus
Squire 4 1,42173338440000,Apache Corporation,Glasscock,Texas,32.00288,-101.47405,,,,FracFocus
Dean C S `A` 264H,42079332020000,Apache Corporation,Cochran,Texas,33.51078,-102.73525,,,,FracFocus
Srh `16` 1616,42383369920000,Apache Corporation,Reagan,Texas,31.45657,-101.46775,,,,FracFocus
Txl South Unit 2905,42135406160000,Apache Corporation,Ector,Texas,31.84832,-102.68162,,,,FracFocus
Stiles 68 19-68H,42483330190000,Apache Corporation,Wheeler,Texas,35.430408,-100.056628,,,,FracFocus
Cc 3602,42461363960000,Apache Corporation,Upton,Texas,31.54976,-102.02114,,,,FracFocus
Txl South Unit 5713,42135406170000,Apache Corporation,Ector,Texas,31.81996,-102.68554,,,,FracFocus
Edith 8 1,42173338330000,Apache Corporation,Glasscock,Texas,31.8492,-101.54924,,,,FracFocus
Bluegill 42 1,42173337860000,Apache Corporation,Glasscock,Texas,31.75303,-101.636,,,,FracFocus
John Luthi 392 #4H,42357329520000,Apache Corporation,Ochiltree,Texas,36.159094,-100.710783,,,,FracFocus
McLain 98 #4H,42357329660000,Apache Corporation,Hemphill,Texas,36.148711,-100.822094,,,,FracFocus
Stiles 16 1016H,42483331020000,Apache Corporation,Wheeler,Texas,35.47105,-100.09058,,,,FracFocus
Srh `13` 1327,42383369440000,Apache Corporation,Reagan,Texas,31.46718,-101.45623,,,,FracFocus
Blain Lovel A III 2,42123314590000,Apache Corporation,DeWitt,Texas,28.98192,-97.30212,,,,FracFocus
Txl North Unit 807,42135374890000,Apache Corporation,Ector,Texas,31.87076,-102.72505,,,,FracFocus
Txl North Unit 974,42135389800000,Apache Corporation,Ector,Texas,31.86627,-102.7217,,,,FracFocus
Connell Cowden 48 4,42461367440000,Apache Corporation,Upton,Texas,31.527489,-102.00429,,,,FracFocus
Red Snapper - Neal 1401,42173338540000,Apache Corporation,Glasscock,Texas,31.97842,-101.43181,,,,FracFocus
SRH-1220,42383374750000,Apache Corporation,Reagan,Texas,31.45545,-101.43207,,,,FracFocus
Sterling W R 19,42415342420000,Apache Corporation,Scurry,Texas,32.59091,-101.05632,,,,FracFocus
Gray 24 2,42173338140000,Apache Corporation,Glasscock,Texas,31.826962,-101.46484,,,,FracFocus
SRH-1219,42383374730000,Apache Corporation,Reagan,Texas,31.45567,-101.43532,,,,FracFocus
TXLNU 1001,42135394490000,Apache Corporation,Ector,Texas,31.881384,-102.71652,,,,FracFocus
His Blessing 35 1,42173336080000,Apache Corporation,Glasscock,Texas,31.9103,-101.51557,,,,FracFocus
Buchanan 3111-2,42227364230000,Apache Corporation,Howard,Texas,32.365364,-101.342716,,,,FracFocus
Mackerel 1 3,42173338840000,Apache Corporation,Glasscock,Texas,31.97201,-101.39555,,,,FracFocus
Moore Kathleen J `B` 1,42371332800000,Apache Corporation,Pecos,Texas,31.13633,-103.16299,,,,FracFocus
Mcclure R O `B` 11,42415345930000,Apache Corporation,Scurry,Texas,32.59911,-101.07504,,,,FracFocus
HE Cummins 20,42135405770000,Apache Corporation,Ector,Texas,32.006086,-102.69483,,,,FracFocus
Weatherly #3-1H,42483331250000,Apache Corporation,Wheeler,Texas,35.273068,-100.110236,,,,FracFocus
ASAU 1004,42445303040000,Apache Corporation,Terry,Texas,32.96006,-102.27724,,,,FracFocus
SRH 13 1320,42383369350000,Apache Corporation,Reagan,Texas,31.479866,-101.45179,,,,FracFocus
Srh `12` 1217,42383371130000,Apache Corporation,Reagan,Texas,31.46271,-101.44888,,,,FracFocus
Walker Farms 14 3,42173338190000,Apache Corporation,Glasscock,Texas,31.84487,-101.49896,,,,FracFocus
NMU#3229bh,30017672240000,Apache Corporation,Crane,Texas,31.468871,-102.38346,,,,FracFocus
Sterling WR #9,42415018740000,Apache Corporation,Scurry,Texas,32.59,-101.05,,,,FracFocus
Cowden B 7,42461371490000,Apache Corporation,Upton,Texas,31.560373,-101.91351,,,,FracFocus
Tigershark 53a 4,42173339170000,Apache Corporation,Glasscock,Texas,31.99439,-101.35626,,,,FracFocus
Phillips `57` 2,42173339410000,Apache Corporation,Glasscock,Texas,31.99458,-101.38569,,,,FracFocus
Stiles 3 16-3H,42483329740000,Apache Corporation,Wheeler,Texas,35.263879,-100.024107,,,,FracFocus
North McElroy Unit #32368H,42103357730000,Apache Corporation,Crane,Texas,31.47327,-102.39754,,,,FracFocus
Mackerel 24b 2,42173339370000,Apache Corporation,Glasscock,Texas,31.96676,-101.40923,,,,FracFocus
TXLNU 825,42135374330000,Apache Corporation,Ector,Texas,31.91923,-102.73911,,,,FracFocus
Srh `13` 1325,42383369640000,Apache Corporation,Reagan,Texas,31.47142,-101.44764,,,,FracFocus
Stiles 3 #1103,42483326670000,Apache Corporation,Wheeler,Texas,35.2726,-100.02507,,,,FracFocus
Wahoo 20 1,42173336920000,Apache Corporation,Glasscock,Texas,31.82088,-101.53946,,,,FracFocus
Ladyfish 43 #1,42173337850000,Apache Corporation,Glasscock,Texas,31.73955,-101.629,,,,FracFocus
